source_mlo,unified_mlo,source_dbs,annotations
Mitochondrial RNA granule,mitochondrial_rna_granule,DrLLPS,42
mtRNA granule,mitochondrial_rna_granule,CDCODE,42
MORC3 nuclear body,morc3_nuclear_body,CDCODE,1
MORC3-NBs,morc3_nuclear_body,PhasePro,1
MUTator foci,mutator_foci,CDCODE,1
Mutator foci,mutator_foci,PhaSepDB,1
mutator focus,mutator_foci,PhasePro,1
small RNA amplification complex,mutator_foci,PhasePro,1
Arsenite-induced Necrosome,necrosome,CDCODE,7
Necrosome,necrosome,PhaSepDB,2
Negri body,negri_body,"CDCODE,PhaSepDB,PhasePro",9
Neuronal granule,neuronal_granule,"CDCODE,DrLLPS,PhaSepDB",67
Neuronal RNP granule,neuronal_granule,CDCODE,66
IMP1 RNP granule,neuronal_granule,CDCODE,39
neuronal ribonucleoprotein granule,neuronal_granule,PhasePro,5
Mimi granules,neuronal_granule,CDCODE,3
RBFOX1 RNP granule,neuronal_granule,CDCODE,2
RNP transport granule,neuronal_granule,PhaSepDB,2
TIAR2 neuronal granule,neuronal_granule,CDCODE,1
NikR compartments,nikr_compartment,PhaSepDB,1
Non-paraspeckle NONO condensate,nono_condensate,PhaSepDB,3
NORAD-PUM body,norad_pum_body,PhaSepDB,2
NP bodies,norad_pum_body,CDCODE,2
Nuage,nuage,"CDCODE,DrLLPS,PhaSepDB",13
IMC (intermitochondrial cement),nuage,CDCODE,1
Nuclear body,nuclear_body,"CDCODE,PhaSepDB",226
Leucocyte nuclear body,nuclear_body,CDCODE,21
nuclear body,nuclear_body,PhasePro,16
Ccer1 condensate,nuclear_body,CDCODE,2
RBM15 condensate,nuclear_body,CDCODE,2
SPRI2 Nuclear Condensate,nuclear_body,CDCODE,2
NAB3 nuclear body,nuclear_body,CDCODE,1
VRN1 nuclear body,nuclear_body,CDCODE,1
Nuclear dicing body,nuclear_dicing_body,"CDCODE,PhaSepDB",6
Nuclear pore complex,nuclear_pore_complex,"CDCODE,DrLLPS,PhaSepDB",114
nuclear pore central transport channel,nuclear_pore_complex,PhasePro,3
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,nuclear_pore_complex,PhasePro,3
nuclear protein granule,nuclear_protein_granule,PhasePro,6
Nuclear speckle,nuclear_speckle,"CDCODE,DrLLPS,PhaSepDB",1042
nuclear speckle,nuclear_speckle,PhasePro,3
AFAP1-AS1 condensates,nuclear_speckle,CDCODE,2
ALYREF condensates,nuclear_speckle,CDCODE,1
METTL14 condensate,nuclear_speckle,CDCODE,1
Omega speckle,nuclear_speckle,CDCODE,1
Nuclear stress body,nuclear_stress_body,"CDCODE,DrLLPS,PhaSepDB",594
A-bodies,nuclear_stress_body,CDCODE,2
Nucleolus,nucleolus,"CDCODE,DrLLPS,PhaSepDB",9385
Dense Fibrillar Component,nucleolus,CDCODE,9
nucleolus,nucleolus,PhasePro,5
Dense fibrillar component,nucleolus,CDCODE,2
Granular component,nucleolus,CDCODE,2
dense fibrillar component,nucleolus,PhasePro,2
rDNA locus,nucleolus,CDCODE,2
granular component,nucleolus,PhasePro,1
OPT domain,opt_domain,DrLLPS,7
Oskar granule,oskar_granule,PhaSepDB,4
p62 cluster,p62_body,PhaSepDB,784
ORF8/p62 condensate,p62_body,CDCODE,4
P62 cluster,p62_body,CDCODE,4
P62 body,p62_body,CDCODE,3
p62 body,p62_body,PhasePro,1
P-body,p_body,"CDCODE,DrLLPS,PhaSepDB,PhasePro",2305
p62-dependent P-bodies (pd-PBs),p_body,CDCODE,11
GW-body,p_body,"CDCODE,PhasePro",5
PB-like Assembly,p_body,CDCODE,3
CCR4-NOT1 complex,p_body,CDCODE,1
P granule,p_granule,"DrLLPS,PhaSepDB,PhasePro",764
P-granule,p_granule,CDCODE,49
Germ granule,p_granule,CDCODE,14
PGL granules,p_granule,CDCODE,5
Trbd,p_granule,CDCODE,1
Pab2 nuclear condensate,pab2_condensate,PhaSepDB,1
ParABS DNA,parabs_condensate,CDCODE,1
Paraspeckle,paraspeckle,"CDCODE,DrLLPS,PhaSepDB",376
NONO,paraspeckle,CDCODE,3
paraspeckle,paraspeckle,PhasePro,3
Peri-nucleolar condensate,perinucleolar_compartment,CDCODE,6
Perinucleolar compartment,perinucleolar_compartment,DrLLPS,2
pi-body,pi_body,PhasePro,1
Photobody,plant_photobody,PhaSepDB,7
Plant Photobody,plant_photobody,CDCODE,5
CRY2/SPA1/FIO1 condensate,plant_photobody,CDCODE,3
OsSRO1c-OsDREB2B condensate,plant_signaling_condensate,CDCODE,2
RH20 condensate,plant_signaling_condensate,CDCODE,2
OsJAZ2 condensate,plant_signaling_condensate,CDCODE,1
PARCL condensate,plant_signaling_condensate,CDCODE,1
Plant growth regulator,plant_signaling_condensate,CDCODE,1
PML body,pml_nuclear_body,"CDCODE,PhasePro",562
PML nuclear body,pml_nuclear_body,"DrLLPS,PhaSepDB",456
PML/RARα microspeckle,pml_nuclear_body,PhaSepDB,1
Polarisome,polarisome,CDCODE,1
Par complex,polarity_condensate,"CDCODE,PhaSepDB",7
PopZ condensate,polarity_condensate,CDCODE,6
PodJ condensates,polarity_condensate,CDCODE,3
Numb/Pon condensate,polarity_condensate,CDCODE,2
