unified_mlo,category,source_names_collapsed,annotations,proteins,source_dbs
eres_condensate,Citoplasmático,2,11,10,CDCODE
pre_autophagosomal_structure,Citoplasmático,3,11,7,"CDCODE,PhaSepDB"
mirisc,Citoplasmático,4,10,2,"CDCODE,PhaSepDB,PhasePro"
germ_plasm,Germinal,4,9,8,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
inflammasome,Citoplasmático,2,9,9,CDCODE
necrosome,Citoplasmático,2,9,9,"CDCODE,PhaSepDB"
negri_body,Viral,1,9,5,"CDCODE,PhaSepDB,PhasePro"
sint_speckle,Citoplasmático,2,9,5,"CDCODE,PhaSepDB"
t_cell_signalosome,Membrana,3,9,3,"CDCODE,PhasePro"
wnt_signaling_condensate,Citoplasmático,5,9,7,"CDCODE,PhaSepDB"
yb_body,Germinal,2,9,5,"CDCODE,PhaSepDB,PhasePro"
ankle_link_condensate,Membrana,2,8,8,CDCODE
cgas_dna_complex,Citoplasmático,2,8,4,"CDCODE,PhaSepDB,PhasePro"
perinucleolar_compartment,Nuclear,2,8,8,"CDCODE,DrLLPS"
purinosome,Citoplasmático,1,8,5,"CDCODE,PhaSepDB"
u_body,Citoplasmático,2,8,5,"CDCODE,DrLLPS"
chromatin_compartment,Nuclear,4,7,5,"CDCODE,DrLLPS,PhasePro"
mardo,Germinal,1,7,7,CDCODE
midbody_granule,Mitótico,1,7,7,CDCODE
opt_domain,Nuclear,1,7,7,DrLLPS
plant_signaling_condensate,Citoplasmático,5,7,7,CDCODE
sirna_body,Citoplasmático,2,7,5,"CDCODE,DrLLPS"
ubqln_puncta,Citoplasmático,2,7,4,"CDCODE,PhaSepDB"
aggresome,Citoplasmático,1,6,6,CDCODE
cleavage_body,Nuclear,1,6,3,"CDCODE,DrLLPS"
integrin_adhesion_complex,Membrana,2,6,6,"CDCODE,PhaSepDB"
mediator_condensate,Nuclear,1,6,6,PhaSepDB
mitochondrial_nucleoid,Mitocondrial,1,6,6,PhaSepDB
nuclear_dicing_body,Nuclear,1,6,3,"CDCODE,PhaSepDB"
nuclear_protein_granule,Nuclear,1,6,6,PhasePro
actin_cortical_patch,Citoesqueleto,3,5,5,"CDCODE,PhasePro"
carboxysome,Procariota,2,5,5,"CDCODE,PhaSepDB"
ftsz_droplet,Procariota,3,5,2,"CDCODE,PhasePro"
zo_protein_compartment,Membrana,1,5,5,CDCODE
assemblysome,Nuclear,1,4,4,"CDCODE,PhaSepDB"
chromogranin_condensate,Citoplasmático,2,4,4,CDCODE
ddx1_body,Nuclear,1,4,2,"CDCODE,DrLLPS"
enhanceosome,Nuclear,1,4,4,PhasePro
mutator_foci,Germinal,4,4,1,"CDCODE,PhaSepDB,PhasePro"
norad_pum_body,Nuclear,2,4,2,"CDCODE,PhaSepDB"
oskar_granule,Germinal,1,4,4,PhaSepDB
spop_daxx_body,Nuclear,1,4,2,"CDCODE,PhasePro"
sup35_condensate,Citoplasmático,1,4,2,"CDCODE,PhasePro"
wnk_body,Citoplasmático,1,4,4,CDCODE
abscission_checkpoint_body,Nuclear,1,3,3,PhaSepDB
cytoplasmic_nucleoporin_granule,Nuclear,1,3,3,PhaSepDB
ferritin_condensate,Citoplasmático,1,3,3,CDCODE
mesh_condensate,Citoplasma,1,3,3,PhaSepDB
nono_condensate,Nuclear,1,3,3,PhaSepDB
slit_diaphragm_condensate,Membrana,1,3,3,CDCODE
sting_phase_separator,Citoplasmático,1,3,2,"CDCODE,PhaSepDB"
tis_granule,Citoplasmático,1,3,1,"CDCODE,PhaSepDB,PhasePro"
twn_body,Vegetal,1,3,3,PhaSepDB
amyloid_body,Nuclear,1,2,2,PhaSepDB
contractile_ring,Citoesqueleto,2,2,1,"CDCODE,PhasePro"
exosomal_condensate,Extracelular,2,2,2,CDCODE
fip200_puncta,Autofagia,1,2,2,PhaSepDB
galectin_lattice,Membrana,2,2,1,PhasePro
haemoglobin_body,Citoplasma,1,2,2,PhaSepDB
icp22_condensate,Viral,1,2,2,PhaSepDB
inava_condensate,Citoplasmático,2,2,1,CDCODE
liquid_dyrk3_speckle,Nuclear/Mitótico,2,2,1,"CDCODE,PhasePro"
maternal_mrna_condensate,Nuclear,2,2,2,"CDCODE,PhaSepDB"
mcd_condensate,Procariota,1,2,2,CDCODE
morc3_nuclear_body,Nuclear,2,2,1,"CDCODE,PhasePro"
sex_body,Nuclear,1,2,2,CDCODE
simr_foci,Germinal,1,2,2,CDCODE
std1_body,Citoplasmático,2,2,1,"CDCODE,PhasePro"
tdp43_nuclear_condensate,Nuclear,1,2,2,PhaSepDB
u1_snrnp_condensate,Nuclear,1,2,2,PhaSepDB
vipr_body,Nuclear,1,2,2,PhaSepDB
amyloid_aggregate,Citoplasmático,1,1,1,CDCODE
antiviral_condensate,Citoplasma,1,1,1,PhaSepDB
axonal_tiar2_granule,Neuronal,1,1,1,PhasePro
bag2_condensate,Citoplasma,1,1,1,PhaSepDB
baz2a_body,Nuclear,1,1,1,CDCODE
cojusome,Citoplasmático,1,1,1,CDCODE
cortical_condensate,Membrana,1,1,1,PhaSepDB
d_granule,Citoplasmático,1,1,1,CDCODE
dps_condensate,Procariota,1,1,1,CDCODE
elastin_granule,Extracelular,1,1,1,CDCODE
elks_condensate,Neuronal,1,1,1,PhaSepDB
escrt_condensate,Membrana,1,1,1,CDCODE
frq_condensate,Citoplasmático,1,1,1,CDCODE
galectin_condensate,Membrana,1,1,1,CDCODE
gbpl_condensate,Vegetal,1,1,1,PhaSepDB
inq_compartment,Nuclear,1,1,1,PhaSepDB
intracellular_dna_protein_granule,Citoplasmático,1,1,1,PhasePro
kat6a_condensate,Nuclear,1,1,1,PhaSepDB
nikr_compartment,Procariota,1,1,1,PhaSepDB
pab2_condensate,Nuclear,1,1,1,PhaSepDB
parabs_condensate,Procariota,1,1,1,CDCODE
pi_body,Germinal,1,1,1,PhasePro
polarisome,Citoesqueleto,1,1,1,CDCODE
polyp_granule,Procariota,1,1,1,CDCODE
refractile_body,Procariota,1,1,1,CDCODE
rho_body,Procariota,1,1,1,CDCODE
rna_helicase_condensate,Citoplasma,1,1,1,PhaSepDB
smn_complex,Nuclear/Citoplasmático,1,1,1,CDCODE
spider_silk_condensate,Extracelular,1,1,1,CDCODE
spliceosome,Nuclear,1,1,1,PhaSepDB
tmar_condensate,Procariota,1,1,1,PhaSepDB
adhesin_nanodomain,Membrana,1,0,0,
npr1_condensate,Citoplasmático,1,0,0,
rosenthal_fiber,Patológico,1,0,0,
