unified_mlo,spatial_location,spatial_location_evidence,taxonomic_scope,taxonomic_support_n,physiological_state,cell_type_context
mutator_foci,cytoplasm,hand_assigned,Metazoa,1,constitutive,germline
necrosome,cytoplasm,from_category,Metazoa,9,constitutive,
negri_body,cytoplasm,hand_assigned,Virus,5,infection,
neuronal_granule,cytoplasm,hand_assigned,Metazoa,118,constitutive,neuron
nikr_compartment,cytoplasm,hand_assigned,Bacteria,1,constitutive,
nono_condensate,nucleus,from_category,Metazoa,3,constitutive,
norad_pum_body,cytoplasm,from_category,Metazoa,2,constitutive,
nuage,cytoplasm,hand_assigned,Metazoa,11,constitutive,germline
nuclear_body,nucleus,from_category,Metazoa,214,constitutive,
nuclear_dicing_body,nucleus,from_category,Viridiplantae,3,constitutive,
nuclear_pore_complex,nucleus,from_category,Metazoa,63,constitutive,
nuclear_protein_granule,nucleus,from_category,Metazoa,6,constitutive,
nuclear_speckle,nucleus,from_category,Metazoa,709,constitutive,
nuclear_stress_body,nucleus,from_category,Metazoa,533,stress_induced,
nucleolus,nucleus,from_category,pan_Metazoa+Viridiplantae,4803,constitutive,
opt_domain,nucleus,from_category,Metazoa,7,constitutive,
oskar_granule,cytoplasm,hand_assigned,Metazoa,4,constitutive,germline
p62_body,cytoplasm,from_category,Metazoa,784,constitutive,
p_body,cytoplasm,from_category,Metazoa,1503,constitutive,
p_granule,cytoplasm,hand_assigned,Metazoa,703,constitutive,germline
pab2_condensate,nucleus,from_category,Fungi,1,constitutive,
parabs_condensate,cytoplasm,hand_assigned,Bacteria,1,constitutive,
paraspeckle,nucleus,from_category,Metazoa,272,constitutive,
perinucleolar_compartment,nucleus,from_category,pan_Fungi+Metazoa,8,constitutive,
pi_body,cytoplasm,hand_assigned,Metazoa,1,constitutive,germline
plant_mtoc,cytoskeleton,hand_assigned,Viridiplantae,12,constitutive,
plant_photobody,nucleus,hand_assigned,Viridiplantae,10,constitutive,
plant_signaling_condensate,cytoplasm,from_category,Viridiplantae,7,constitutive,
plectin_condensate,cytoskeleton,from_category,Metazoa,2,constitutive,
pml_nuclear_body,nucleus,from_category,Metazoa,785,constitutive,
polarisome,cytoskeleton,from_category,Fungi,1,constitutive,
polycomb_body,nucleus,from_category,Metazoa,44,constitutive,
polyp_granule,cytoplasm,hand_assigned,Bacteria,1,constitutive,
postsynaptic_density,plasma_membrane,hand_assigned,Metazoa,2959,constitutive,neuron
pre_autophagosomal_structure,cytoplasm,from_category,Fungi,7,constitutive,
presynaptic_active_zone,plasma_membrane,hand_assigned,Metazoa,20,constitutive,neuron
proteasome_foci,nucleus,from_category,pan_Fungi+Metazoa,16,constitutive,
proteasome_storage_granule,cytoplasm,from_category,Fungi,5,stress_induced,
purinosome,cytoplasm,from_category,Metazoa,5,constitutive,
pyrenoid,plastid,from_category,Viridiplantae,84,constitutive,
refractile_body,cytoplasm,hand_assigned,Protista,1,constitutive,
replication_compartment,nucleus,hand_assigned,pan_Metazoa+Virus,21,infection,
rho_body,cytoplasm,hand_assigned,,0,constitutive,
rna_helicase_condensate,cytoplasm,from_category,Metazoa,1,constitutive,
sam68_nuclear_body,nucleus,from_category,Metazoa,17,constitutive,
sars_cov2_n_condensate,cytoplasm,hand_assigned,pan_Metazoa+Virus,10,infection,
sec_body,cytoplasm,from_category,Metazoa,11,constitutive,
signaling_cluster,plasma_membrane,from_category,Metazoa,38,constitutive,
signaling_condensate,cytoplasm,from_category,Metazoa,10,constitutive,
simr_foci,cytoplasm,hand_assigned,Metazoa,2,constitutive,germline
sint_speckle,cytoplasm,from_category,Metazoa,5,constitutive,
sirna_body,cytoplasm,from_category,Viridiplantae,5,constitutive,
slit_diaphragm_condensate,plasma_membrane,from_category,Metazoa,3,constitutive,podocyte
smn_complex,nucleus_and_cytoplasm,from_category,Metazoa,1,constitutive,
spider_silk_condensate,extracellular,from_category,Metazoa,1,constitutive,silk_gland
spindle_apparatus,cytoskeleton,from_category,pan_Metazoa+Viridiplantae,88,constitutive,
spindle_pole_body,cytoskeleton,from_category,Fungi,135,constitutive,
spliceosome,nucleus,from_category,Metazoa,1,constitutive,
sponge_body,cytoplasm,hand_assigned,Metazoa,14,constitutive,germline
spop_daxx_body,nucleus,from_category,Metazoa,2,constitutive,
std1_body,cytoplasm,from_category,Fungi,1,constitutive,
sting_phase_separator,cytoplasm,from_category,Metazoa,2,constitutive,
stress_granule,cytoplasm,from_category,pan_Fungi+Metazoa,2831,stress_induced,
sup35_condensate,cytoplasm,from_category,Fungi,2,pathological,
synapsin_condensate,cytoplasm,hand_assigned,Metazoa,6,constitutive,neuron
t_cell_signalosome,plasma_membrane,from_category,Metazoa,3,constitutive,t_cell
tam_body,nucleus,from_category,Fungi,11,constitutive,
tau_condensate,cytoplasm,hand_assigned,Metazoa,274,pathological,neuron
tdp43_nuclear_condensate,nucleus,from_category,Metazoa,2,pathological,
tifasome,cytoplasm,from_category,Metazoa,7,constitutive,
tis_granule,cytoplasm,from_category,Metazoa,1,constitutive,
tmar_condensate,cytoplasm,hand_assigned,Bacteria,1,constitutive,
transcriptional_condensate,nucleus,from_category,Metazoa,163,constitutive,
twn_body,cytoplasm,hand_assigned,Metazoa,3,constitutive,
u1_snrnp_condensate,nucleus,from_category,Metazoa,2,constitutive,
u_body,cytoplasm,from_category,Metazoa,5,constitutive,
ubqln_puncta,cytoplasm,from_category,Metazoa,4,constitutive,
vipr_body,nucleus,from_category,pan_Metazoa+Virus,2,constitutive,
viral_factory,cytoplasm,hand_assigned,pan_Metazoa+Virus,45,infection,
viroplasm,cytoplasm,hand_assigned,pan_Metazoa+Virus,36,infection,
wnk_body,cytoplasm,from_category,Metazoa,4,constitutive,
wnt_destruction_complex,cytoplasm,from_category,Metazoa,7,constitutive,
wnt_signaling_condensate,cytoplasm,from_category,Metazoa,7,constitutive,
xy_body,nucleus,hand_assigned,Metazoa,12,constitutive,germline
yb_body,cytoplasm,hand_assigned,Metazoa,5,constitutive,germline
z_disc_condensate,cytoskeleton,from_category,Metazoa,1,constitutive,muscle
z_granule,cytoplasm,hand_assigned,Metazoa,46,constitutive,germline
zo_protein_compartment,plasma_membrane,from_category,Metazoa,5,constitutive,
