accesion_obsoleta,accesion_vigente,motivo
Q9BWL9,P52272,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BXK4,Q13535,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BYG9,P06748,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BZQ1,Q7Z2T5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9FFQ8,Q84JB7,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9GZW3,Q9GZR2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H027,Q8N567,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H245,Q6P1J9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H2G1,Q14966,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H381,Q53GS9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H3H4,O75691,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H3L4,Q9P016,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H586,Q76FK4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H5L4,Q5SY16,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H5M6,Q8WTT2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
