"uid","name","description","species_taxon_id","species_name","confidence_score","condensate_type","infectious_agent_species_id","infectious_agent_species_name"
"60893955",Synthetic Condensate 000005,,0,Chimeras,3,synthetic,,
"7A5BD188",PFK-1.1 condensates,PFK-1.1 condensates in Caenorhabditis elegans do not correspond to stress granules and might represent novel metabolic subcompartments,6239,Caenorhabditis elegans,5,biomolecular,,
"6697AF75",Synthetic Condensate 000332,"Morphology: In Vitro Droplet Formation,In Vitro Frap,In Vivo Droplet Formation,In Vivo Frap; Main protein: P38182; Partner Proteins: P14904; In vitro reconstitution experiments reveal that Atg19 and lipidated Atg8 are necessary and sufficient for selective sequestration of Ape1 droplets by membranes.",559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1,synthetic,,
"3521A8E2",Synthetic Condensate 000312,"Morphology: In Vitro Droplet Formation,In Vivo Droplet Formation,In Vivo Frap; Main protein: Q07802; Partner Proteins: P56959, Q01844, P23772, Q3TKT4; The CTD of EBF1 was dispensable for initial chromatin targeting but stabilized occupancy via recruitment of the chromatin remodeler Brg1.",0,Chimeras,1,synthetic,,
A331833B,p62-dependent P-bodies (pd-PBs),"PB-like assemblies are smaller, distinct subassemblies of P-body components that form when canonical PBs are disrupted. Unlike canonical PBs, they are smaller and show increased interactions with SGs, often clustering around their surface.",10090,Mus musculus,4,biomolecular,,
"8B6B23E7",P6 inclusion body,"Cauliflower Mosaic Virus  forms inclusion bodies during infection, which are mostly made of the viral protein P6 and are the sites of viral activity.",3702,Arabidopsis thaliana,5,infectious,10641,Cauliflower mosaic virus
"7F56106F",ParABS DNA,"ParABS DNA condensate is formed by the key component of the ParABS system, the ParB (spo0J) protein, which assembles dynamically on the DNA",224308,Bacillus subtilis (strain 168),5,biomolecular,,
DFEC0B67,Heterochromatin,"Chromatin is a complex of DNA and histone proteins that regulates gene expression as well as packaging genetic material to fit inside the cell. The proper functioning of chromatin also necessitates a web of interactions between molecular complexes that alter chromatin shape and organization to change DNA accessibility to transcription factors, resulting in the activation or repression of target DNA locus. Chromatin is divided into three types based on its shape and compaction state: euchromatin, heterochromatin, and centromeric chromatin. Heterochromatin is related with gene silencing and is characterized by being less accessible than euchromatin and transcriptionally less active. In the nucleus, heterochromatin separates from euchromatin and is concentrated in the nuclear periphery and regions around the nucleolus.",7244,Drosophila virilis,1,biomolecular,,
C4E5F0B6,Synthetic Condensate 000109,,9606,Homo sapiens,1,synthetic,,
"25ECCE88",Synthetic Condensate 000148,,3055,Chlamydomonas reinhardtii,3,synthetic,,
"1249081A",Synthetic Condensate 000025,,9606,Homo sapiens,1,synthetic,,
