unified_mlo,name_a,name_b,n_a,n_b,shared,overlap_coef,same_resource,shared_organism,res_a,res_b
cytoplasmic_rnp_granule,MEX3B granule,RNP granules,1,43,0,0.0,False,True,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,MEX3B granule,Translational Condensate,1,4,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,MEX3B granule,WHI3 cluster,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,MEX3B granule,cytoplasmic ribonucleoprotein granule,1,7,0,0.0,False,True,CDCODE,PhasePro
cytoplasmic_rnp_granule,RNP granule,RNP granules,3,43,3,1.0,False,True,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,RNP granule,Translational Condensate,3,4,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,RNP granule,WHI3 cluster,3,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,RNP granule,cytoplasmic ribonucleoprotein granule,3,7,0,0.0,False,False,CDCODE,PhasePro
cytoplasmic_rnp_granule,RNP granules,Translational Condensate,43,4,0,0.0,False,False,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,RNP granules,WHI3 cluster,43,1,0,0.0,False,False,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,RNP granules,cytoplasmic ribonucleoprotein granule,43,7,1,0.143,False,True,PhaSepDB,PhasePro
cytoplasmic_rnp_granule,Translational Condensate,WHI3 cluster,4,1,0,0.0,True,True,CDCODE,CDCODE
cytoplasmic_rnp_granule,Translational Condensate,cytoplasmic ribonucleoprotein granule,4,7,0,0.0,False,False,CDCODE,PhasePro
cytoplasmic_rnp_granule,WHI3 cluster,cytoplasmic ribonucleoprotein granule,1,7,0,0.0,False,False,CDCODE,PhasePro
dna_damage_foci,53BP1 Mitotic Stress Body (MSBs),DNA damage foci,3,54,2,0.667,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
dna_damage_foci,53BP1 Mitotic Stress Body (MSBs),PARP1-DNA condensate,3,3,0,0.0,True,True,CDCODE,CDCODE
dna_damage_foci,53BP1 Mitotic Stress Body (MSBs),SOSS-INTAC Condensate,3,5,0,0.0,True,True,CDCODE,CDCODE
dna_damage_foci,53BP1 Mitotic Stress Body (MSBs),TopBP1 condensate,3,1,0,0.0,True,True,CDCODE,CDCODE
dna_damage_foci,DNA damage foci,PARP1-DNA condensate,54,3,2,0.667,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
dna_damage_foci,DNA damage foci,SOSS-INTAC Condensate,54,5,1,0.2,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
