unified_mlo,source_mlo,resource,source_db_tags,term_status,in_served_data,category,verdict,proteins,assertions,organisms,top_organism,distinct_pmids,roles
chloroplast_stress_granule,Chloroplast Stress granule,CDCODE,CDCODE,served,yes,Plastídico,correct,79,79,2,Arabidopsis thaliana,0,
chromatin_compartment,Euchromatin,CDCODE,CDCODE,served,yes,Nuclear,review,2,2,2,Gallus gallus,0,
chromatin_compartment,euchromatin,PhasePro,PhasePro,served,yes,Nuclear,review,2,2,2,Gallus gallus,2,driver
chromatin_compartment,eukaryotic topoisomerase ii,CDCODE,CDCODE,served,yes,Nuclear,review,2,2,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
chromatin_compartment,Chromatin,DrLLPS,DrLLPS,served,yes,Nuclear,correct,1,1,1,Drosophila melanogaster,1,driver
chromatoid_body,Chromatoid body,CDCODE,CDCODE,served,yes,Germinal,trivial_variant,109,109,3,Mus musculus,0,
chromatoid_body,Chromatoid body,DrLLPS,DrLLPS,served,yes,Germinal,trivial_variant,106,106,3,Mus musculus,17,client|driver
chromogranin_condensate,Chromogranin condensates,CDCODE,CDCODE,served,yes,Citoplasmático,correct,3,3,3,Mus musculus,0,
chromogranin_condensate,Large dense-core vesicles,CDCODE,CDCODE,served,yes,Citoplasmático,error,1,1,1,Homo sapiens,0,
cleavage_body,Cleavage body,CDCODE,CDCODE,served,yes,Nuclear,trivial_variant,3,3,1,Homo sapiens,0,
cleavage_body,Cleavage body,DrLLPS,DrLLPS,served,yes,Nuclear,trivial_variant,2,2,1,Homo sapiens,2,driver
cojusome,Cojusome,CDCODE,CDCODE,served,yes,Citoplasmático,trivial_variant,1,1,1,Tetrahymena thermophila,0,
contractile_ring,Contractile ring condensate,CDCODE,CDCODE,served,yes,Citoesqueleto,correct,1,1,1,Schizosaccharomyces pombe (strain 972 / ATCC 24843),0,
contractile_ring,contractile ring,PhasePro,PhasePro,served,yes,Citoesqueleto,trivial_variant,1,1,1,Schizosaccharomyces pombe (strain 972 / ATCC 24843),1,driver
contractile_ring,Contractile ring,,,served,no,Citoesqueleto,correct,0,0,0,,0,
cortical_condensate,Cortical condensate,PhaSepDB,PhasePDB,served,yes,Membrana,trivial_variant,1,1,1,Homo sapiens,4,driver
cytoplasmic_nucleoporin_granule,Cytoplasmic Nucleoporin Granule,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,3,3,1,Homo sapiens,8,driver
cytoplasmic_protein_granule,cytoplasmic protein granule,PhasePro,PhasePro,served,yes,Citoplasmático,trivial_variant,14,14,6,Drosophila melanogaster,8,driver
cytoplasmic_protein_granule,Cytoplasmic bodies,CDCODE,CDCODE,served,yes,Citoplasmático,review,3,3,1,Homo sapiens,0,
cytoplasmic_rnp_granule,RNP granules,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,not_reviewed,43,43,7,Homo sapiens,34,client|driver
cytoplasmic_rnp_granule,cytoplasmic ribonucleoprotein granule,PhasePro,PhasePro,served,yes,Citoplasmático,not_reviewed,7,7,3,Homo sapiens,7,driver
cytoplasmic_rnp_granule,Cytoplasmic protein granule,CDCODE,CDCODE,served,yes,Citoplasmático,error,5,5,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
cytoplasmic_rnp_granule,Translational Condensate,CDCODE,CDCODE,served,yes,Citoplasmático,review,4,4,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
cytoplasmic_rnp_granule,Cpeb1b-Pabpc1b-shh Condensate,CDCODE,CDCODE,served,yes,Citoplasmático,correct,3,3,1,Danio rerio,0,
cytoplasmic_rnp_granule,RNP granule,CDCODE,CDCODE,served,yes,Citoplasmático,not_reviewed,3,3,1,Caenorhabditis elegans,0,
cytoplasmic_rnp_granule,CPEB4 granule,CDCODE,CDCODE,served,yes,Citoplasmático,not_reviewed,1,1,1,Xenopus laevis,0,
cytoplasmic_rnp_granule,Ddx3xb condensates,CDCODE,CDCODE,served,yes,Citoplasmático,review,1,1,1,Danio rerio,0,
cytoplasmic_rnp_granule,FXR1 condensates,CDCODE,CDCODE,served,yes,Citoplasmático,not_reviewed,1,1,1,Mus musculus,0,
cytoplasmic_rnp_granule,FXR1 network,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,not_reviewed,1,1,1,Homo sapiens,3,driver
cytoplasmic_rnp_granule,MEX3B granule,CDCODE,CDCODE,served,yes,Citoplasmático,correct,1,1,1,Homo sapiens,0,
cytoplasmic_rnp_granule,WHI3 cluster,CDCODE,CDCODE,served,yes,Citoplasmático,correct,1,1,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
d_granule,D-granule,CDCODE,CDCODE,served,yes,Citoplasmático,trivial_variant,1,1,1,Mus musculus,0,
ddx1_body,DDX1 body,CDCODE,CDCODE,served,yes,Nuclear,trivial_variant,2,2,1,Homo sapiens,0,
ddx1_body,DDX1 body,DrLLPS,DrLLPS,served,yes,Nuclear,trivial_variant,2,2,1,Homo sapiens,2,driver
degradosome,Degradosome,CDCODE,CDCODE,served,yes,Procariota,trivial_variant,12,12,1,Escherichia coli (strain K12),0,
dna_damage_foci,DNA damage foci,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,36,38,4,Homo sapiens,129,client|driver
dna_damage_foci,DNA damage foci,CDCODE,CDCODE,served,yes,Nuclear,trivial_variant,23,23,2,Homo sapiens,0,
dna_damage_foci,DNA damage foci,DrLLPS,DrLLPS,served,yes,Nuclear,trivial_variant,7,7,1,Homo sapiens,19,client|driver
dna_damage_foci,SOSS-INTAC Condensate,CDCODE,CDCODE,served,yes,Nuclear,correct,5,5,1,Homo sapiens,0,
dna_damage_foci,53BP1 Mitotic Stress Body (MSBs),CDCODE,CDCODE,served,yes,Nuclear,review,3,3,1,Homo sapiens,0,
dna_damage_foci,PARP1-DNA condensate,CDCODE,CDCODE,served,yes,Nuclear,correct,3,3,1,Homo sapiens,0,
dna_damage_foci,TopBP1 condensate,CDCODE,CDCODE,served,yes,Nuclear,not_reviewed,1,1,1,Homo sapiens,0,
dps_condensate,Dps condensate,CDCODE,CDCODE,served,yes,Procariota,trivial_variant,1,1,1,Escherichia coli (strain K12),0,
elastin_granule,Elastin granule,CDCODE,CDCODE,served,yes,Extracelular,trivial_variant,1,1,1,Homo sapiens,0,
elks_condensate,ELKS condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Neuronal,trivial_variant,1,1,1,Homo sapiens,1,driver
elva,ELVA,CDCODE,CDCODE,served,yes,Nuclear,trivial_variant,13,13,1,Mus musculus,0,
endocytic_condensate,Ede1 condensate,CDCODE,CDCODE,served,yes,Membrana,correct,11,11,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
endocytic_condensate,Endocytic condensates,CDCODE,CDCODE,served,yes,Membrana,correct,3,3,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
enhanceosome,enhanceosome,PhasePro,PhasePro,served,yes,Nuclear,trivial_variant,4,4,1,Homo sapiens,2,driver
enhancer_condensate,enhancer condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,4,4,1,Homo sapiens,17,driver
enhancer_condensate,MegaTrans enhancer complex,CDCODE,CDCODE,served,yes,Nuclear,correct,2,2,1,Homo sapiens,0,
enhancer_condensate,nuclear bodies that occur at super enhancers in mESCs,PhasePro,PhasePro,served,yes,Nuclear,correct,2,2,1,Homo sapiens,1,driver
enhancer_condensate,robustly E2-activated enhancers (MegaTrans) enhancers,PhasePro,PhasePro,served,yes,Nuclear,correct,2,2,1,Homo sapiens,1,driver
enhancer_condensate,Enhancer cluster,CDCODE,CDCODE,served,yes,Nuclear,correct,1,1,1,Homo sapiens,0,
eres_condensate,ERES,CDCODE,CDCODE,served,yes,Citoplasmático,correct,8,8,1,Homo sapiens,0,
eres_condensate,SCOTIN condensate,CDCODE,CDCODE,served,yes,Citoplasmático,review,3,3,1,Homo sapiens,0,
escrt_condensate,ESCRTs,CDCODE,CDCODE,served,yes,Membrana,not_reviewed,1,1,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
exosomal_condensate,SDC4 exosomal condensate,CDCODE,CDCODE,served,yes,Extracelular,correct,1,1,1,Homo sapiens,0,
exosomal_condensate,YBX1 condensate,CDCODE,CDCODE,served,yes,Extracelular,review,1,1,1,Homo sapiens,0,
ferritin_condensate,Ferritin-NCOA4 condensate,CDCODE,CDCODE,served,yes,Citoplasmático,not_reviewed,3,3,1,Homo sapiens,0,
fip200_puncta,FIP200 puncta,PhaSepDB,PhasePDB,served,yes,Autofagia,trivial_variant,2,2,1,Homo sapiens,3,driver
frq_condensate,FRQ condensate,CDCODE,CDCODE,served,yes,Citoplasmático,trivial_variant,1,1,1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),0,
ftsz_droplet,FtsZ/SlmA body,CDCODE,CDCODE,served,yes,Procariota,correct,2,2,1,Escherichia coli (strain K12),0,
ftsz_droplet,Ftsz-rich droplets at specific chromosomal DNA sites,PhasePro,PhasePro,served,yes,Procariota,correct,2,2,1,Escherichia coli (strain K12),1,driver
ftsz_droplet,FtsZ condensate,CDCODE,CDCODE,served,yes,Procariota,correct,1,1,1,Escherichia coli (strain K12),0,
galectin_condensate,Galectin complex,CDCODE,CDCODE,served,yes,Membrana,not_reviewed,1,1,1,Homo sapiens,0,
galectin_lattice,galectin complex,PhasePro,PhasePro,served,yes,Membrana,correct,1,1,1,Homo sapiens,1,driver
galectin_lattice,galectin lattice,PhasePro,PhasePro,served,yes,Membrana,trivial_variant,1,1,1,Homo sapiens,1,driver
gbpl_condensate,GBPL defense-activated condensates,PhaSepDB,PhaseDB|PhasePDB,served,yes,Vegetal,not_reviewed,1,1,1,Arabidopsis thaliana,2,driver
gem,Gemini of cajal body,DrLLPS,DrLLPS,served,yes,Nuclear,correct,2,2,1,Homo sapiens,13,driver
gem,Gems,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,correct,1,1,1,Homo sapiens,2,driver
gem,SMN1 nuclear body,CDCODE,CDCODE,served,yes,Nuclear,correct,1,1,1,Mus musculus,0,
germ_plasm,Germ plasm,PhaSepDB,PhaseDB|PhasePDB,served,yes,Germinal,trivial_variant,4,4,3,Drosophila melanogaster,4,client|driver
germ_plasm,germ plasm,PhasePro,PhasePro,served,yes,Germinal,correct,2,2,1,Danio rerio,1,driver
germ_plasm,Founder granule,CDCODE,CDCODE,served,yes,Germinal,correct,1,1,1,Drosophila melanogaster,0,
germ_plasm,Germ plasm/Polar granule,,,served,no,Germinal,review,0,0,0,,0,
glycolytic_body,Glycolytic body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,correct,9,9,3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),4,client|driver
glycolytic_body,G-body,CDCODE,CDCODE,served,yes,Citoplasmático,correct,5,5,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
glycolytic_body,PFK-1.1 condensates,CDCODE,CDCODE,served,yes,Citoplasmático,correct,1,1,1,Caenorhabditis elegans,0,
golgin_condensate,Golgin condensate,CDCODE,CDCODE,served,yes,Citoplasmático,correct,7,7,1,Homo sapiens,0,
golgin_condensate,Golgin condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,correct,7,7,1,Homo sapiens,2,driver
golgin_condensate,Golgi ribbon,CDCODE,CDCODE,served,yes,Citoplasmático,error,1,1,1,Homo sapiens,0,
haemoglobin_body,Haemoglobin body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasma,trivial_variant,2,2,1,Mus musculus,1,driver
heterochromatin,Heterochromatin,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,41,41,8,Homo sapiens,56,driver
heterochromatin,Heterochromatin,CDCODE,CDCODE,served,yes,Nuclear,trivial_variant,10,10,6,Arabidopsis thaliana,0,
heterochromatin,XY body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,error,10,10,1,Mus musculus,2,driver
heterochromatin,heterochromatin,PhasePro,PhasePro,served,yes,Nuclear,trivial_variant,4,4,3,Homo sapiens,4,driver
hippo_condensate,TAZ Condensate,CDCODE,CDCODE,served,yes,Membrana,correct,8,8,1,Homo sapiens,0,
hippo_condensate,Hippo signalosome,CDCODE,CDCODE,served,yes,Membrana,correct,7,7,1,Homo sapiens,0,
hippo_condensate,NEDD4 condensates,CDCODE,CDCODE,served,yes,Membrana,review,3,3,1,Homo sapiens,0,
hippo_condensate,DDR1 condensate,CDCODE,CDCODE,served,yes,Membrana,error,2,2,1,Mus musculus,0,
histone_locus_body,Histone Locus Body,CDCODE,CDCODE,served,yes,Nuclear,correct,15,15,4,Homo sapiens,0,
histone_locus_body,Histone locus body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,trivial_variant,7,8,3,Homo sapiens,10,client|driver
histone_locus_body,Histone locus body,DrLLPS,DrLLPS,served,yes,Nuclear,trivial_variant,4,4,2,Drosophila melanogaster,4,client
hyperosmotic_shock_foci,Hyperosmotic shock foci,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,trivial_variant,18,18,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),10,driver
hyperosmotic_shock_foci,Hypersomatic shock foci,CDCODE,CDCODE,served,yes,Citoplasmático,correct,17,17,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
icp22_condensate,ICP22 condensate,PhaSepDB,PhasePDB,served,yes,Viral,trivial_variant,2,2,1,Human herpesvirus 1 (strain 17),1,driver
in_vitro_droplet,in vitro droplet,LLPSDB,LLPSDB,served,yes,In vitro,trivial_variant,380,380,64,Homo sapiens,289,driver
in_vitro_droplet,in vitro droplet,DrLLPS,DrLLPS,served,yes,In vitro,trivial_variant,144,144,11,Homo sapiens,98,client|driver
in_vitro_droplet,Droplet,,,served,no,In vitro,not_reviewed,0,0,0,,0,
inava_condensate,IL-1b-induced INAVA condensates,CDCODE,CDCODE,served,yes,Citoplasmático,correct,1,1,1,Homo sapiens,0,
inava_condensate,INAVA condensates,CDCODE,CDCODE,served,yes,Citoplasmático,correct,1,1,1,Homo sapiens,0,
inclusion_body,Inclusion body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Patológico,trivial_variant,49,49,20,Homo sapiens,100,driver
inclusion_body,Inclusion body,CDCODE,CDCODE,served,yes,Patológico,trivial_variant,18,18,8,Chandipura virus (strain I653514),0,
inclusion_body,inclusion body-associated granule (IBAG),CDCODE,CDCODE,served,yes,Patológico,error,9,9,4,Homo sapiens,0,
inclusion_body,P6 inclusion body,CDCODE,CDCODE,served,yes,Patológico,error,6,6,2,Arabidopsis thaliana,0,
inclusion_body,Inclusion Body,CDCODE,CDCODE,served,yes,Patológico,trivial_variant,4,4,3,Tomato yellow mottle-associated virus,0,
inclusion_body,Htt inclusion,CDCODE,CDCODE,served,yes,Patológico,correct,3,3,2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),0,
inclusion_body,inclusion body,PhasePro,PhasePro,served,yes,Patológico,trivial_variant,3,3,2,Measles virus (strain Edmonston-AIK-C vaccine),2,driver
inclusion_body,Htt inclusion,PhaSepDB,PhaseDB|PhasePDB,served,yes,Patológico,correct,2,2,2,Homo sapiens,4,driver
inclusion_body,TDP-25 inclusions,CDCODE,CDCODE,served,yes,Patológico,correct,1,1,1,Homo sapiens,0,
inflammasome,TIFA-TRAF6 Condensate,CDCODE,CDCODE,served,yes,Citoplasmático,error,7,7,1,Homo sapiens,0,
inflammasome,Inflammasome,CDCODE,CDCODE,served,yes,Citoplasmático,correct,2,2,1,Homo sapiens,0,
inq_compartment,Intranuclear quality control compartment,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,not_reviewed,1,1,1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1,driver
insulator_body,Insulator body,CDCODE,CDCODE,served,yes,Nuclear,correct,8,8,1,Drosophila melanogaster,0,
insulator_body,Insulator body,DrLLPS,DrLLPS,served,yes,Nuclear,correct,6,6,1,Drosophila melanogaster,7,client
insulator_body,insulator body,,,served,no,Nuclear,trivial_variant,0,0,0,,0,
integrin_adhesion_complex,Integrin adhesion complex,PhaSepDB,PhaseDB|PhasePDB,served,yes,Membrana,correct,3,3,1,Mus musculus,1,driver
integrin_adhesion_complex,focal adhesion (FA) condensate,CDCODE,CDCODE,served,yes,Membrana,correct,3,3,1,Homo sapiens,0,
intracellular_dna_protein_granule,intracellular DNA/protein granule,PhasePro,PhasePro,served,yes,Citoplasmático,trivial_variant,1,1,1,Homo sapiens,1,driver
kat6a_condensate,KAT6A droplet,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,not_reviewed,1,1,1,Homo sapiens,1,driver
l_body,L-body,PhaSepDB,PhaseDB|PhasePDB,served,yes,Germinal,trivial_variant,76,76,1,Xenopus laevis,2,client|driver
l_body,L-bodies,CDCODE,CDCODE,served,yes,Germinal,correct,10,10,1,Xenopus laevis,0,
liquid_dyrk3_speckle,DYRK3 speckle,CDCODE,CDCODE,served,yes,Nuclear/Mitótico,correct,1,1,1,Homo sapiens,0,
liquid_dyrk3_speckle,liquid-like DYRK3 speckles,PhasePro,PhasePro,served,yes,Nuclear/Mitótico,correct,1,1,1,Homo sapiens,1,driver
mardo,MARDO,CDCODE,CDCODE,served,yes,Germinal,trivial_variant,7,7,2,Mus musculus,0,
mast_cell_granule,Mast cell extracellular granules (MCEGs),CDCODE,CDCODE,served,yes,Secretor,not_reviewed,533,533,3,Mus musculus,0,
maternal_mrna_condensate,Nuclear poly(A) domains,CDCODE,CDCODE,served,yes,Nuclear,review,1,1,1,Mus musculus,0,
maternal_mrna_condensate,Rbm14-maternal mRNA condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,correct,1,1,1,Danio rerio,1,driver
mcd_condensate,McdB condensate,CDCODE,CDCODE,served,yes,Procariota,not_reviewed,2,2,1,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),0,
mediator_condensate,Mediator condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Nuclear,correct,6,6,2,Homo sapiens,13,driver
mediator_condensate,mediator condensate,,,served,no,Nuclear,trivial_variant,0,0,0,,0,
mesh_condensate,Mesh-like condensate,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasma,not_reviewed,3,3,1,Homo sapiens,82,driver
midbody_granule,Midbody Granule,CDCODE,CDCODE,served,yes,Mitótico,trivial_variant,7,7,1,Homo sapiens,0,
mirisc,RISC complex,PhasePro,PhasePro,served,yes,Citoplasmático,review,2,2,1,Homo sapiens,1,driver
mirisc,miRISC,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,trivial_variant,2,2,1,Homo sapiens,2,driver
mirisc,miRISC,PhasePro,PhasePro,served,yes,Citoplasmático,trivial_variant,2,2,1,Homo sapiens,1,driver
mirisc,miRISC condensate,CDCODE,CDCODE,served,yes,Citoplasmático,correct,2,2,1,Homo sapiens,0,
