uniprot,mlo_db,rol_db,source,db,mlo,rol
Q13242,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13242,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13242,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13243,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13243,P-body,,phasepdb,phasepdb_ht,p-body,
Q13243,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13243,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13243,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13243,P-body,,phasepdb,phasepdb_ht,p-body,
Q13243,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13243,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13243,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13247,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13247,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13247,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13247,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13263,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13263,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13263,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13263-2,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13283,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13283,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13308,P-body,,phasepdb,phasepdb_ht,p-body,
Q13308,P-body,,phasepdb,phasepdb_ht,p-body,
Q13310,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13310,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13310,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13310,IMP1 ribonucleoprotein granule,,phasepdb,phasepdb_ht,imp1 ribonucleoprotein granule,
Q13315,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13342,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13347,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13356,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13370,P-body,,phasepdb,phasepdb_ht,p-body,
Q13370,P-body,,phasepdb,phasepdb_ht,p-body,
Q13409,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13409,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13409,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
