uniprot_id,organism_uniprot,estado,remapea_a,reino
P16475,,DEMERGED,"P60661,P60662,P60660",
P16632,,DEMERGED,"P62847,P62848,P62849,P62850",
P17008,,DEMERGED,"P62249,P62250",
P17080,,DEMERGED,"P62825,P62826,P62827,P62828",
P19138,,DEMERGED,"P68399,P68400",
P20670,,DEMERGED,"Q6FI13,Q6GSS7",
P23131,,DEMERGED,"P62832,P62830,P62831,P62829",
P23152,,DEMERGED,"P84104,P84103",
P23197,,DEMERGED,"P83917,P83916",
P23411,,DEMERGED,"P63173,P63174",
P23821,,DEMERGED,"P62081,P62082,P62083",
P25111,,DEMERGED,"P62852,P62851,P62853",
P25112,,DEMERGED,"P62857,P62858,P62859",
P25120,,DEMERGED,"P62917,P62918,P62919",
P25232,,DEMERGED,"P62269,P62271,P62272,P62270",
P25388,,DEMERGED,"P63244,P63245,P63243,P63246,P68040,P63247",
P29043,Homo sapiens,Active,,Metazoa
P29316,,DEMERGED,"P62752,P62751,P62750",
P32391,,DEMERGED,"P61157,P61158",
P34331,Caenorhabditis elegans,Active,,Metazoa
P34991,,DEMERGED,"P63208,P63209",
P35544,Homo sapiens,Active,,Metazoa
P35545,Mus musculus,Active,,Metazoa
P37140,,DEMERGED,"P62142,P62141,P62140,P62143,P62207",
P38663,,DEMERGED,"Q8BP67,Q862I1,P83732,P83731",
P39026,,DEMERGED,"P62914,P62913",
P39027,,DEMERGED,"P62245,P62246,P62244",
P39028,,DEMERGED,"P62266,P62268,P62267",
P39030,,DEMERGED,"P61313,P61314",
P42655,,DEMERGED,"P62261,P62258,P62262,P62260,P62259",
P43330,,DEMERGED,"P62316,P62317",
P43331,,DEMERGED,"P62318,P62320",
P46055,,DEMERGED,"P62496,P62495,P62497",
P49241,,DEMERGED,"P61246,P61247",
P50550,,DEMERGED,"P63281,P63280,P63279,P63282,P63283",
P52433,,DEMERGED,"P62487,P62488,P62489",
P52436,,DEMERGED,"P62875,P62876",
P53025,,DEMERGED,"P62906,P62907",
P62158,,DEMERGED,"P0DP25,P0DP23,P0DP24",
Q02546,,DEMERGED,"P62277,P62278,P62279",
Q02877,,DEMERGED,"P61254,P61255",
Q04984,,DEMERGED,"P61603,P61604",
Q05472,,DEMERGED,"P62860,P62861,P62864,P62863,P62862",
Q07161,Homo sapiens,Active,,Metazoa
Q07244,,DEMERGED,"P61978,P61979,P61980",
Q12803,Homo sapiens,Active,,Metazoa
Q12987,Homo sapiens,Active,,Metazoa
Q13748,,DEMERGED,"P0DPH8,P0DPH7",
Q14259,,DEMERGED,"P84089,P84090",
Q14281,Homo sapiens,Active,,Metazoa
Q14981,Homo sapiens,Active,,Metazoa
Q15357,,DEMERGED,"P62308,P62309",
Q15815,,DEMERGED,"P62995,P62996,P62997",
Q16051,Homo sapiens,Active,,Metazoa
Q2TU79,Homo sapiens,Active,,Metazoa
Q3SXR2,,DELETED,,
Q3SY89,,DELETED,,
Q5RHE2,,DELETED,,
Q5SQP8,,DELETED,,
Q5SZ07,Homo sapiens,Active,,Metazoa
Q5SZ08,Homo sapiens,Active,,Metazoa
Q66J40,Xenopus laevis,Active,,Metazoa
Q66KY6,Xenopus laevis,Active,,Metazoa
Q6IE36,,DELETED,,
Q6IQJ2,,DELETED,,
Q6P3L3,,DELETED,,
Q6TGY6,,DELETED,,
Q6TLG8,,DELETED,,
Q7Z481,Homo sapiens,Active,,Metazoa
Q7Z5E3,Homo sapiens,Active,,Metazoa
Q7Z638,Homo sapiens,Active,,Metazoa
Q7ZXW4,Xenopus laevis,Active,,Metazoa
Q86T58,Homo sapiens,Active,,Metazoa
Q86UC4,Homo sapiens,Active,,Metazoa
Q86VM3,Homo sapiens,Active,,Metazoa
Q8IGP5,Drosophila melanogaster,Active,,Metazoa
Q8IU69,Homo sapiens,Active,,Metazoa
Q8IUK7,Homo sapiens,Active,,Metazoa
Q8IVL9,Homo sapiens,Active,,Metazoa
Q8IVR9,Homo sapiens,Active,,Metazoa
Q8IW16,Homo sapiens,Active,,Metazoa
Q8IWG8,Homo sapiens,Active,,Metazoa
Q8IY12,Homo sapiens,Active,,Metazoa
Q8IYH0,Homo sapiens,Active,,Metazoa
Q8IYI9,Homo sapiens,Active,,Metazoa
Q8K3G7,Mus musculus,Active,,Metazoa
Q8N0W8,Homo sapiens,Active,,Metazoa
Q8N417,Homo sapiens,Active,,Metazoa
Q8N6Z8,,DEMERGED,"P62878,P62877",
Q8N935,Homo sapiens,Active,,Metazoa
Q8N9E5,Homo sapiens,Active,,Metazoa
Q8NB06,Homo sapiens,Active,,Metazoa
Q8NBE6,Homo sapiens,Active,,Metazoa
Q8NCD9,Homo sapiens,Active,,Metazoa
Q8NEP4,Homo sapiens,Active,,Metazoa
Q8NHS8,Homo sapiens,Active,,Metazoa
Q8TB66,Homo sapiens,Active,,Metazoa
Q8TBR6,Homo sapiens,Active,,Metazoa
Q8TCV6,Homo sapiens,Active,,Metazoa
Q8TDY0,Homo sapiens,Active,,Metazoa
Q8TEZ1,Homo sapiens,Active,,Metazoa
Q8WUY5,Homo sapiens,Active,,Metazoa
Q8WUZ1,Homo sapiens,Active,,Metazoa
Q8WV53,Homo sapiens,Active,,Metazoa
Q8WVB8,Homo sapiens,Active,,Metazoa
Q8WXZ8,Homo sapiens,Active,,Metazoa
Q92945,Homo sapiens,Active,,Metazoa
Q93068,,DEMERGED,"P63166,P63165",
Q96A52,Homo sapiens,Active,,Metazoa
Q96A78,Homo sapiens,Active,,Metazoa
Q96AT5,Homo sapiens,Active,,Metazoa
Q96B52,Homo sapiens,Active,,Metazoa
Q96CL3,Homo sapiens,Active,,Metazoa
Q96DK2,Homo sapiens,Active,,Metazoa
Q96E87,Homo sapiens,Active,,Metazoa
Q96E91,Homo sapiens,Active,,Metazoa
Q96FD2,Homo sapiens,Active,,Metazoa
Q96FJ1,Homo sapiens,Active,,Metazoa
Q96FT1,Homo sapiens,Active,,Metazoa
Q96G92,Homo sapiens,Active,,Metazoa
Q96I08,Homo sapiens,Active,,Metazoa
Q96J10,Homo sapiens,Active,,Metazoa
Q96J95,Homo sapiens,Active,,Metazoa
Q96JD3,Homo sapiens,Active,,Metazoa
Q96JN4,Homo sapiens,Active,,Metazoa
Q96JY7,Homo sapiens,Active,,Metazoa
Q96LC1,Homo sapiens,Active,,Metazoa
Q96PK5,Homo sapiens,Active,,Metazoa
Q96QJ8,Homo sapiens,Active,,Metazoa
Q96SS3,Homo sapiens,Active,,Metazoa
Q96TA6,Homo sapiens,Active,,Metazoa
Q96TG8,,DEMERGED,"P61765,Q64320,P61763,P61764",
Q9BPV9,Homo sapiens,Active,,Metazoa
Q9BPY6,Homo sapiens,Active,,Metazoa
Q9BRC9,Homo sapiens,Active,,Metazoa
Q9BRF6,Homo sapiens,Active,,Metazoa
Q9BUT3,Homo sapiens,Active,,Metazoa
Q9BVP6,Homo sapiens,Active,,Metazoa
Q9BW93,Homo sapiens,Active,,Metazoa
Q9BWD4,,DEMERGED,"Q12905,Q7L7R3",
Q9BWL9,Homo sapiens,Active,,Metazoa
Q9BXK4,Homo sapiens,Active,,Metazoa
Q9BYG9,Homo sapiens,Active,,Metazoa
Q9BZG8,Homo sapiens,Active,,Metazoa
Q9BZQ1,Homo sapiens,Active,,Metazoa
Q9FFQ8,Arabidopsis thaliana,Active,,Viridiplantae
Q9GZW3,Homo sapiens,Active,,Metazoa
Q9H027,Homo sapiens,Active,,Metazoa
Q9H245,Homo sapiens,Active,,Metazoa
Q9H2G1,Homo sapiens,Active,,Metazoa
Q9H381,Homo sapiens,Active,,Metazoa
Q9H3H4,Homo sapiens,Active,,Metazoa
Q9H3L4,Homo sapiens,Active,,Metazoa
Q9H586,Homo sapiens,Active,,Metazoa
Q9H5L4,Homo sapiens,Active,,Metazoa
Q9H5M6,Homo sapiens,Active,,Metazoa
Q9H7U0,Homo sapiens,Active,,Metazoa
Q9H830,Homo sapiens,Active,,Metazoa
Q9H855,Homo sapiens,Active,,Metazoa
Q9H8U9,Homo sapiens,Active,,Metazoa
Q9H9F8,Homo sapiens,Active,,Metazoa
Q9H9J6,Homo sapiens,Active,,Metazoa
Q9H9V5,Homo sapiens,Active,,Metazoa
Q9NSP6,Homo sapiens,Active,,Metazoa
Q9NV36,Homo sapiens,Active,,Metazoa
Q9NVL3,Homo sapiens,Active,,Metazoa
Q9NVP0,Homo sapiens,Active,,Metazoa
Q9NVW5,Homo sapiens,Active,,Metazoa
