uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	evidence	organism
P15502	CDCODE	Elastin granule	elastin_granule	NotInformed	unmapped	NULL	NULL
Q02794	CDCODE	STD1 body	std1_body	NotInformed	unmapped	NULL	NULL
G5EDE7	CDCODE	Pericentriolar matrix	centrosome	NotInformed	unmapped	NULL	NULL
P03520	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed	unmapped	NULL	NULL
Q07666	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P61978	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9BXY0	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q96MU7	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P38159	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q15424	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q5VWX1	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q8NEJ9	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P34761	CDCODE	WHI3 cluster	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
P16554	CDCODE	Numb/Pon condensate	polarity_condensate	NotInformed	unmapped	NULL	NULL
Q9W4I7	CDCODE	Numb/Pon condensate	polarity_condensate	NotInformed	unmapped	NULL	NULL
P20028	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
P91349	CDCODE	Pericentriolar matrix	centrosome	NotInformed	unmapped	NULL	NULL
Q9N3P1	CDCODE	Z-granule	z_granule	NotInformed	unmapped	NULL	NULL
Q7ZXV8	CDCODE	Spindle matrix	spindle_apparatus	NotInformed	unmapped	NULL	NULL
Q54VP4	CDCODE	HSP condensate	signaling_condensate	NotInformed	unmapped	NULL	NULL
Q07352	CDCODE	TIS granule	tis_granule	NotInformed	unmapped	NULL	NULL
Q92804	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q16082	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
O62275	CDCODE	Z-granule	z_granule	NotInformed	unmapped	NULL	NULL
Q07889	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed	unmapped	NULL	NULL
Q9UKV8	CDCODE	miRISC condensate	mirisc	NotInformed	unmapped	NULL	NULL
P84022	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q8SWR8	CDCODE	Neuronal RNP granule	neuronal_granule	NotInformed	unmapped	NULL	NULL
P0A9A6	CDCODE	FtsZ/SlmA body	ftsz_droplet	NotInformed	unmapped	NULL	NULL
Q01860	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P23771	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q8L3W1	CDCODE	VRN1 nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q9VBP3	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P38996	CDCODE	NAB3 nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P03521	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed	unmapped	NULL	NULL
Q9W1V3	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
Q9VD51	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
P22363	CDCODE	Negri body	negri_body	NotInformed	unmapped	NULL	NULL
P08287	CDCODE	Euchromatin	chromatin_compartment	NotInformed	unmapped	NULL	NULL
P62993	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed	unmapped	NULL	NULL
O43561	CDCODE	T-cell signalosome	t_cell_signalosome	NotInformed	unmapped	NULL	NULL
O62011	CDCODE	MUTator foci	mutator_foci	NotInformed	unmapped	NULL	NULL
O74718	CDCODE	Sup35 condensate	sup35_condensate	NotInformed	unmapped	NULL	NULL
Q03940	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q8NDV7	CDCODE	GW-body	p_body	NotInformed	unmapped	NULL	NULL
P03523	CDCODE	Cytoplasmic viral factory	viral_factory	NotInformed	unmapped	NULL	NULL
Q9BJZ5	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q9UKV8	CDCODE	GW-body	p_body	NotInformed	unmapped	NULL	NULL
P04050	CDCODE	RNA polymerase clusters	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P45973	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
Q14781	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
A0A0B4K7A6	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
Q7JXA2	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q92804	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q9W4I7	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
P16554	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q8JXF6	CDCODE	Negri body	negri_body	NotInformed	unmapped	NULL	NULL
P78953	CDCODE	Contractile ring condensate	contractile_ring	NotInformed	unmapped	NULL	NULL
Q8N163	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q14151	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
H2L067	CDCODE	RNP granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q9D415	CDCODE	Presynaptic clusters	presynaptic_active_zone	NotInformed	unmapped	NULL	NULL
Q8TC44	CDCODE	Tau Condensate	tau_condensate	NotInformed	unmapped	NULL	NULL
Q09181	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O42958	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O13828	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O74454	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q09737	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
D8V196	CDCODE	CPEB4 granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q6ZN04	CDCODE	MEX3B granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
R4GEN3	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
O75817	CDCODE	SMN-Rpp20 complex	smn_complex	NotInformed	unmapped	NULL	NULL
Q9XW17	CDCODE	RNP granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q13094	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q9A211	CDCODE	BR-body	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
Q9VUU4	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92621	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
A8CG34	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q8WYP5	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q24009	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96EP5	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q9A7H8	CDCODE	BR-body	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
Q92499	CDCODE	Cleavage body	cleavage_body	NotInformed	unmapped	NULL	NULL
Q8WUA4	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P23246	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q15233	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q9A8N4	CDCODE	BR-body	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
Q9A805	CDCODE	BR-body	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
O74874	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P33240	CDCODE	Cleavage body	cleavage_body	NotInformed	unmapped	NULL	NULL
Q75E28	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
A0A0R4IAW9	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q6ZRY4	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
P35979	CDCODE	WNK body	wnk_body	NotInformed	unmapped	NULL	NULL
Q5A791	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
J3QQ18	CDCODE	Presynaptic clusters	presynaptic_active_zone	NotInformed	unmapped	NULL	NULL
O65934	CDCODE	ABC transporter condensate	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
Q6P158	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P25158	CDCODE	Germ granule	p_granule	NotInformed	unmapped	NULL	NULL
P83741	CDCODE	WNK body	wnk_body	NotInformed	unmapped	NULL	NULL
Q8UVX0	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
F1R237	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q9BW27	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P49687	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q92499	CDCODE	DDX1 body	ddx1_body	NotInformed	unmapped	NULL	NULL
P23128	CDCODE	Germ granule	p_granule	NotInformed	unmapped	NULL	NULL
Q7SXI8	CDCODE	Histone Locus Body	histone_locus_body	NotInformed	unmapped	NULL	NULL
Q80UE6	CDCODE	WNK body	wnk_body	NotInformed	unmapped	NULL	NULL
Q8WVC0	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q9Y5Q8	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P63104	CDCODE	Tau Condensate	tau_condensate	NotInformed	unmapped	NULL	NULL
P33240	CDCODE	DDX1 body	ddx1_body	NotInformed	unmapped	NULL	NULL
Q9A341	CDCODE	BR-body	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
A0A2R8QD37	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
P23128	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8IH18	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
A0A0B4LEZ3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
E1JJR3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q7KY08	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9VMA3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q5U127	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9W1H5	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9VCN7	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8SY33	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
M9NFQ7	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
M9PF20	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O76922	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96J94	CDCODE	Chromatoid body	chromatoid_body	NotInformed	unmapped	NULL	NULL
Q9H6R0	CDCODE	Inflammasome	inflammasome	NotInformed	unmapped	NULL	NULL
Q8IUD2	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
P52948	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
O00401	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q8WV28	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q8NAV1	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q95YF3	CDCODE	RNP granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
Q14764	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9NR21	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q96HA1	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P55735	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
O60318	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9NPA8	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9NRG9	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9BXS6	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P49792	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P57740	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P12270	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P49790	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q12769	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9UKX7	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q8WUM0	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q8TD16	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9HC62	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9NQI0	CDCODE	Nuage	nuage	NotInformed	unmapped	NULL	NULL
P14907	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q02199	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
P48837	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q02629	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q9WVG6	CDCODE	Paraspeckle	paraspeckle	NotInformed	unmapped	NULL	NULL
O94752	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P40383	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Z1W9	CDCODE	WNK body	wnk_body	NotInformed	unmapped	NULL	NULL
H0WFA5	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q7ZUL7	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q6DH13	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
F1RA35	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q4ACU6	CDCODE	Presynaptic clusters	presynaptic_active_zone	NotInformed	unmapped	NULL	NULL
P09052	CDCODE	Germ granule	p_granule	NotInformed	unmapped	NULL	NULL
Q9VVI2	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75791	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q08881	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
O13310	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q02748	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P05205	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
Q92345	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9P805	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75643	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q9P2I0	CDCODE	Cleavage body	cleavage_body	NotInformed	unmapped	NULL	NULL
P10636	CDCODE	Tau Condensate	tau_condensate	NotInformed	unmapped	NULL	NULL
Q9UBU9	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q96B97	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q6PIF6	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q14432	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q13136	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
O43561	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
P18031	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q86SQ0	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q495M9	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q9Y2X7	CDCODE	Signaling cluster	signaling_cluster	NotInformed	unmapped	NULL	NULL
Q9VVX0	CDCODE	U-body	u_body	NotInformed	unmapped	NULL	NULL
P91941	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q53GS7	CDCODE	Nuclear pore complex	nuclear_pore_complex	NotInformed	unmapped	NULL	NULL
Q91398	CDCODE	Balbiani body	balbiani_body	NotInformed	unmapped	NULL	NULL
Q23972	CDCODE	Germ granule	p_granule	NotInformed	unmapped	NULL	NULL
Q9VEN9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P20226	CDCODE	DNA damage foci	dna_damage_foci	NotInformed	unmapped	NULL	NULL
D0PV95	CDCODE	Synthetic Condensate 000006	synthetic_condensate	NotInformed	unmapped	NULL	NULL
P32588	CDCODE	Synthetic Condensate 000005	synthetic_condensate	NotInformed	unmapped	NULL	NULL
Q14676	CDCODE	DNA damage foci	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q12888	CDCODE	DNA damage foci	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q16533	CDCODE	DNA damage foci	dna_damage_foci	NotInformed	unmapped	NULL	NULL
D0PV95	CDCODE	Synthetic Condensate 000020	synthetic_condensate	NotInformed	unmapped	NULL	NULL
Q17353	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q9SRE6	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q75E28	CDCODE	Synthetic Condensate 000012	synthetic_condensate	NotInformed	unmapped	NULL	NULL
G5ED39	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
G5ECG0	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q9XW79	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
P91349	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
G5EEM5	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q95QJ7	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q9NDC9	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q8WT44	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q94131	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
P34690	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q9XVW6	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
O44548	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q03605	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
G5EFV3	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q21215	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
P45970	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q9GT24	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
Q03569	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
G5EBX0	CDCODE	Centrosome	centrosome	NotInformed	unmapped	NULL	NULL
