uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
P35187	PhaSepDB	Assemblysome	assemblysome	driver	driver	1	37460154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9LDX1	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36640363;19332064	Arabidopsis thaliana
Q62420	PhaSepDB	Synapsin condensate	synapsin_condensate	driver	driver	1	37250768	Mus musculus
Q96B97	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32051419	Homo sapiens
Q9JLU4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38440150	Rattus norvegicus
Q9BYB0	PhaSepDB	Postsynaptic density	postsynaptic_density	driver	driver	1	30078712;39174527;33235361;35819332	Homo sapiens
Q4ACU6	PhaSepDB	Postsynaptic density	postsynaptic_density	driver	driver	1	33235361;35562389;31492534	Mus musculus
Q8N114	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37816329;39946235	Homo sapiens
P81133	PhaSepDB	Mesh-like condensate	mesh_condensate	driver	driver	1	33650968	Homo sapiens
P25294	PhaSepDB	Hyperosmotic shock foci	hyperosmotic_shock_foci	driver	driver	1	31285266;33229560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P25294	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	33229560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P32790	PhaSepDB	Stress granule	stress_granule	driver	driver	1	34887356	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P33338	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34887356	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P31645	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37837191	Homo sapiens
P0C093	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36854378;36315857;30523075	Escherichia coli (strain K12)
Q14BN4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36318920	Homo sapiens
Q8IY92	PhaSepDB	PML nuclear body	pml_nuclear_body	driver	driver	1	37059091	Homo sapiens
P11994	PhaSepDB	NotInformed	NotInformed	driver	driver	1	28478667	Strongylocentrotus purpuratus
Q15796	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38769521	Homo sapiens
P84022	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	38769521;31563432	Homo sapiens
Q13485	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38769521	Homo sapiens
P51532	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38326345;34018649	Homo sapiens
Q3TKT4	PhaSepDB	NotInformed	NotInformed	driver	driver	1	33159853	Mus musculus
O60264	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35073946	Homo sapiens
Q12824	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	39095374	Homo sapiens
Q8TAQ2	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37186134	Homo sapiens
Q96GM5	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	39095374	Homo sapiens
P32908	PhaSepDB	NotInformed	NotInformed	driver	driver	1	33568486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P47037	PhaSepDB	NotInformed	NotInformed	driver	driver	1	33568486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
